class,method,mr,run,AORB_live,AORB_killed,AORS_live,AORS_killed,AOIU_live,AOIU_killed,AOIS_live,AOIS_killed,AODU_live,AODU_killed,AODS_live,AODS_killed,ROR_live,ROR_killed,COR_live,COR_killed,COD_live,COD_killed,COI_live,COI_killed,SOR_live,SOR_killed,LOR_live,LOR_killed,LOI_live,LOI_killed,LOD_live,LOD_killed,ASRS_live,ASRS_killed,SDL_live,SDL_killed,VDL_live,VDL_killed,CDL_live,CDL_killed,ODL_live,ODL_killed,total_live,total_killed,mutant_score
MethodsFromColt,min,aggregate,8,0,4,0,3,0,4,6,12,0,0,0,0,1,11,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,5,0,1,0,1,2,1,11,46,0.81
MethodsFromColt,min,aggregate,9,0,4,0,3,0,4,0,18,0,0,0,0,2,10,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,3,54,0.95
MethodsFromColt,min,aggregate,10,0,4,2,1,2,2,3,15,0,0,0,0,2,10,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,1,4,0,1,0,1,1,2,12,45,0.79
MethodsFromColt,polevl,aggregate,1,0,8,0,1,0,2,1,19,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,4,1,51,0.98
MethodsFromColt,polevl,aggregate,2,2,6,0,1,0,2,3,17,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,2,0,4,0,0,0,4,8,44,0.85
MethodsFromColt,polevl,aggregate,3,1,7,0,1,1,1,2,18,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,3,1,3,0,0,1,3,9,43,0.83
MethodsFromColt,polevl,aggregate,4,2,6,0,1,0,2,5,15,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,2,2,2,0,0,0,4,12,40,0.77
MethodsFromColt,polevl,aggregate,5,0,8,0,1,0,2,0,20,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,4,0,52,1.00
MethodsFromColt,polevl,aggregate,6,1,7,0,1,0,2,2,18,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,4,1,3,0,0,1,3,7,45,0.87
MethodsFromColt,polevl,aggregate,7,1,7,0,1,0,2,1,19,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,4,2,50,0.96
MethodsFromColt,polevl,aggregate,8,1,7,1,0,0,2,0,20,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,4,1,3,0,0,0,4,4,48,0.92
MethodsFromColt,polevl,aggregate,9,0,8,0,1,0,2,1,19,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,4,1,51,0.98
MethodsFromColt,polevl,aggregate,10,1,7,0,1,0,2,2,18,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,3,1,3,0,0,1,3,8,44,0.85
MethodsFromColt,pooledMean,aggregate,1,6,22,0,2,2,4,6,26,0,0,0,0,1,9,0,0,0,0,1,1,0,0,0,0,2,10,0,0,2,6,1,6,1,5,0,0,0,16,22,107,0.83
MethodsFromColt,pooledMean,aggregate,2,4,24,0,2,0,6,5,27,0,0,0,0,1,9,0,0,0,0,1,1,0,0,0,0,1,11,0,0,1,7,1,6,0,6,0,0,1,15,15,114,0.88
MethodsFromColt,pooledMean,aggregate,3,0,28,0,2,0,6,1,31,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,1,11,0,0,0,8,0,7,0,6,0,0,2,14,4,125,0.97
MethodsFromColt,pooledMean,aggregate,4,1,27,0,2,0,6,1,31,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,2,10,0,0,1,7,0,7,1,5,0,0,0,16,8,121,0.94
MethodsFromColt,pooledMean,aggregate,5,0,28,0,2,1,5,0,32,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,8,0,7,0,6,0,0,1,15,2,127,0.98
MethodsFromColt,pooledMean,aggregate,6,0,28,0,2,0,6,1,31,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,12,0,0,1,7,0,7,1,5,0,0,1,15,6,123,0.95
MethodsFromColt,pooledMean,aggregate,7,5,23,0,2,1,5,2,30,0,0,0,0,1,9,0,0,0,0,0,2,0,0,0,0,2,10,0,0,3,5,0,7,1,5,0,0,6,10,21,108,0.84
MethodsFromColt,pooledMean,aggregate,8,0,28,0,2,0,6,0,32,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,8,0,7,1,5,0,0,0,16,1,128,0.99
MethodsFromColt,pooledMean,aggregate,9,6,22,0,2,0,6,4,28,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,4,8,0,0,0,8,2,5,1,5,0,0,0,16,17,112,0.87
MethodsFromColt,pooledVariance,aggregate,1,0,8,0,1,0,2,0,20,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,1,3,0,0,0,4,1,51,0.98
MethodsFromColt,pooledVariance,aggregate,2,1,7,0,1,0,2,2,18,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,1,3,4,48,0.92
MethodsFromColt,pooledVariance,aggregate,3,0,8,0,1,0,2,0,20,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,4,0,52,1.00
MethodsFromColt,pooledVariance,aggregate,4,2,6,0,1,0,2,2,18,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,4,1,3,0,0,1,3,7,45,0.87
MethodsFromColt,pooledVariance,aggregate,5,0,8,1,0,0,2,0,20,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,4,1,51,0.98
MethodsFromColt,pooledVariance,aggregate,6,0,8,0,1,0,2,0,20,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,4,0,52,1.00
MethodsFromColt,pooledVariance,aggregate,7,0,8,1,0,0,2,2,18,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,3,0,4,0,0,1,3,5,47,0.90
MethodsFromColt,pooledVariance,aggregate,8,1,7,0,1,0,2,2,18,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,4,3,49,0.94
MethodsFromColt,pooledVariance,aggregate,9,1,7,0,1,0,2,2,18,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,3,0,4,0,0,1,3,7,45,0.87
MethodsFromColt,pooledVariance,aggregate,10,0,8,1,0,0,2,0,20,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,4,1,51,0.98
MethodsFromColt,power,aggregate,1,0,0,0,1,0,2,0,12,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,0,30,1.00
MethodsFromColt,power,aggregate,2,0,0,0,1,0,2,0,12,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,0,30,1.00
MethodsFromColt,power,aggregate,3,0,0,1,0,1,1,1,11,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,3,27,0.90
MethodsFromColt,power,aggregate,4,0,0,0,1,0,2,0,12,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,0,30,1.00
MethodsFromColt,power,aggregate,5,0,0,0,1,0,2,2,10,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,3,27,0.90
MethodsFromColt,power,aggregate,6,0,0,1,0,0,2,2,10,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,3,27,0.90
MethodsFromColt,power,aggregate,7,0,0,0,1,0,2,3,9,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,2,0,1,0,0,0,0,5,25,0.83
MethodsFromColt,power,aggregate,8,0,0,0,1,0,2,2,10,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,3,27,0.90
MethodsFromColt,power,aggregate,9,0,0,0,1,0,2,1,11,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,1,29,0.97
MethodsFromColt,power,aggregate,10,0,0,0,1,0,2,0,12,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,3,0,1,0,0,0,0,1,29,0.97
MethodsFromColt,product,aggregate,1,0,0,0,3,0,3,2,4,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,3,1,2,0,0,0,0,0,2,8,21,0.72
MethodsFromColt,product,aggregate,2,0,0,1,2,0,3,0,6,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,1,2,0,0,0,0,0,2,3,26,0.90
