Class,MR,MutantType,Live,Killed,Score
MethodCollection2,aggregate,deletion,0,7,1.0
MethodCollection2,aggregate,arithmetic,0,12,1.0
MethodCollection2,aggregate,relational,0,11,1.0
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,4,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,5,1.0
MethodCollection2,aggregate,arithmetic,1,26,0.9629629629629629
MethodCollection2,aggregate,relational,1,10,0.9090909090909091
MethodCollection2,aggregate,conditional,1,1,0.5
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,25,0.9615384615384616
MethodCollection2,aggregate,arithmetic,2,65,0.9701492537313433
MethodCollection2,aggregate,relational,0,8,1.0
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,4,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,4,26,0.8666666666666667
MethodCollection2,aggregate,arithmetic,1,16,0.9411764705882353
MethodCollection2,aggregate,relational,1,15,0.9375
MethodCollection2,aggregate,conditional,0,3,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,4,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,2,12,0.8571428571428571
MethodCollection2,aggregate,arithmetic,2,8,0.8
MethodCollection2,aggregate,relational,1,3,0.75
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,1,1,0.5
MethodCollection2,aggregate,deletion,0,6,1.0
MethodCollection2,aggregate,arithmetic,0,15,1.0
MethodCollection2,aggregate,relational,1,3,0.75
MethodCollection2,aggregate,conditional,1,0,0.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,2,1.0
MethodCollection2,aggregate,deletion,2,8,0.8
MethodCollection2,aggregate,arithmetic,7,48,0.8727272727272727
MethodCollection2,aggregate,relational,2,21,0.9130434782608695
MethodCollection2,aggregate,conditional,0,4,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,6,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,36,0.972972972972973
MethodCollection2,aggregate,arithmetic,0,3,1.0
MethodCollection2,aggregate,relational,0,5,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,3,0.75
MethodCollection2,aggregate,arithmetic,4,18,0.8181818181818182
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,1,0,0.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,8,1.0
MethodCollection2,aggregate,deletion,2,12,0.8571428571428571
MethodCollection2,aggregate,arithmetic,0,10,1.0
MethodCollection2,aggregate,relational,1,10,0.9090909090909091
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
