"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"104","MethodCollection2","aggregate",25,1,23,1,17,0,3,0,0,1,5,0,0,1,7,6,17,4,55,3.23529411764706,0.93
"105","MethodCollection2","aggregate",26,0,9,0,11,0,2,0,0,0,1,0,0,0,5,5,21,0,28,1.33333333333333,1
"106","MethodCollection2","aggregate",27,1,6,3,8,0,2,0,0,0,1,0,0,0,5,6,22,4,22,1,0.85
"107","MethodCollection2","aggregate",28,1,5,1,10,1,1,0,0,0,2,0,0,1,5,3,9,4,23,2.55555555555556,0.85
"108","MethodCollection2","aggregate",29,1,5,0,11,0,2,0,0,1,1,0,0,0,6,3,9,2,25,2.77777777777778,0.93
"109","MethodCollection2","aggregate",30,0,6,2,9,0,2,0,0,1,1,0,0,0,6,3,14,3,24,1.71428571428571,0.89
"110","MethodCollection2","aggregate",1,0,5,0,4,0,1,0,0,0,2,0,2,0,4,3,12,0,18,1.5,1
"111","MethodCollection2","aggregate",2,2,24,1,15,0,3,0,0,0,5,0,0,2,17,6,34,5,64,1.88235294117647,0.93
"112","MethodCollection2","aggregate",3,0,40,0,19,1,3,0,0,0,9,0,5,1,23,16,50,2,99,1.98,0.98
"113","MethodCollection2","aggregate",4,0,10,0,11,1,1,0,0,1,2,0,0,0,6,2,9,2,30,3.33333333333333,0.94
"114","MethodCollection2","aggregate",5,1,25,0,16,0,3,0,0,0,3,0,0,1,13,7,35,2,60,1.71428571428571,0.97
"115","MethodCollection2","aggregate",6,0,9,0,4,0,1,0,0,1,1,0,4,0,8,2,16,1,27,1.6875,0.96
"116","MethodCollection2","aggregate",7,1,12,0,4,0,1,0,0,0,2,0,0,0,6,2,11,1,25,2.27272727272727,0.96
"117","MethodCollection2","aggregate",8,0,13,0,11,0,2,0,0,0,3,0,0,0,4,2,8,0,33,4.125,1
"118","MethodCollection2","aggregate",9,1,10,3,8,0,2,0,0,1,2,0,0,0,5,3,12,5,27,2.25,0.84
"119","MethodCollection2","aggregate",10,0,2,0,4,0,1,0,0,0,1,0,0,0,2,2,13,0,10,0.769230769230769,1
"120","MethodCollection2","aggregate",11,1,13,0,4,0,1,0,0,0,1,0,4,1,13,2,32,2,36,1.125,0.95
"121","MethodCollection2","aggregate",12,0,10,1,3,0,1,0,0,0,1,0,4,0,8,2,18,1,27,1.5,0.96
"122","MethodCollection2","aggregate",13,0,7,0,4,0,1,0,0,0,1,0,4,0,8,2,17,0,25,1.47058823529412,1
"123","MethodCollection2","aggregate",14,0,13,1,3,0,1,0,0,0,2,0,4,0,7,3,8,1,30,3.75,0.97
"124","MethodCollection2","aggregate",15,0,12,0,11,0,2,0,0,0,3,0,0,0,5,4,11,0,33,3,1
"125","MethodCollection2","aggregate",16,1,25,0,11,0,2,0,0,1,2,0,0,2,24,6,29,4,64,2.20689655172414,0.94
"126","MethodCollection2","aggregate",17,4,63,1,7,0,2,0,0,0,4,0,0,1,29,6,21,6,105,5,0.95
"127","MethodCollection2","aggregate",18,1,19,1,15,0,3,0,0,0,5,0,0,0,13,10,27,2,55,2.03703703703704,0.96
"128","MethodCollection2","aggregate",19,0,10,0,4,0,1,0,0,0,3,0,2,1,5,3,12,1,25,2.08333333333333,0.96
"129","MethodCollection2","aggregate",20,1,14,0,4,0,1,0,0,0,3,0,2,1,9,3,18,2,33,1.83333333333333,0.94
"130","MethodCollection2","aggregate",21,1,53,2,21,1,3,0,0,0,8,0,0,3,33,9,53,7,118,2.22641509433962,0.94
"131","MethodCollection2","aggregate",22,0,3,1,4,0,1,0,0,0,1,0,0,0,4,0,14,1,13,0.928571428571429,0.93
"132","MethodCollection2","aggregate",23,1,23,0,4,0,1,0,0,0,1,1,7,1,13,3,17,3,49,2.88235294117647,0.94
"133","MethodCollection2","aggregate",24,0,10,0,11,0,2,0,0,0,3,0,0,0,6,3,9,0,32,3.55555555555556,1
"134","MethodCollection2","aggregate",25,1,20,1,17,0,3,0,0,2,4,0,0,1,7,4,22,5,51,2.31818181818182,0.91
"135","MethodCollection2","aggregate",26,0,6,1,10,0,2,0,0,0,1,0,0,0,5,5,24,1,24,1,0.96
"136","MethodCollection2","aggregate",27,0,8,3,8,0,2,0,0,0,1,0,0,0,5,6,21,3,24,1.14285714285714,0.89
"137","MethodCollection2","aggregate",28,0,6,0,11,0,2,0,0,0,2,0,0,0,6,3,9,0,27,3,1
"138","MethodCollection2","aggregate",29,0,6,1,10,0,2,0,0,0,2,0,0,1,5,3,9,2,25,2.77777777777778,0.93
"139","MethodCollection2","aggregate",30,1,5,0,11,0,2,0,0,0,2,0,0,0,6,3,14,1,26,1.85714285714286,0.96
