"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"108","MethodCollection2","add",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"109","MethodCollection2","add",30,0,6,2,9,0,2,0,0,1,1,0,0,0,6,3,10,3,24,2.4,0.89
"110","MethodCollection2","add",1,0,5,0,4,0,1,0,0,0,2,0,2,0,4,3,8,0,18,2.25,1
"111","MethodCollection2","add",2,2,24,1,15,0,3,0,0,0,5,0,0,2,17,6,34,5,64,1.88235294117647,0.93
"112","MethodCollection2","add",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"113","MethodCollection2","add",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"114","MethodCollection2","add",5,1,25,0,16,0,3,0,0,0,3,0,0,1,13,7,33,2,60,1.81818181818182,0.97
"115","MethodCollection2","add",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"116","MethodCollection2","add",7,1,12,0,4,0,1,0,0,0,2,0,0,0,6,2,11,1,25,2.27272727272727,0.96
"117","MethodCollection2","add",8,0,13,0,11,0,2,0,0,0,3,0,0,0,4,2,8,0,33,4.125,1
"118","MethodCollection2","add",9,1,10,3,8,0,2,0,0,1,2,0,0,0,5,3,10,5,27,2.7,0.84
"119","MethodCollection2","add",10,0,2,0,4,0,1,0,0,0,1,0,0,0,2,2,13,0,10,0.769230769230769,1
"120","MethodCollection2","add",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"121","MethodCollection2","add",12,0,10,1,3,0,1,0,0,0,1,0,4,0,8,2,14,1,27,1.92857142857143,0.96
"122","MethodCollection2","add",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"123","MethodCollection2","add",14,0,13,1,3,0,1,0,0,0,2,0,4,0,7,3,8,1,30,3.75,0.97
"124","MethodCollection2","add",15,0,12,0,11,0,2,0,0,0,3,0,0,0,5,4,10,0,33,3.3,1
"125","MethodCollection2","add",16,1,25,0,11,0,2,0,0,1,2,0,0,2,24,6,19,4,64,3.36842105263158,0.94
"126","MethodCollection2","add",17,4,63,1,7,0,2,0,0,0,4,0,0,1,29,6,21,6,105,5,0.95
"127","MethodCollection2","add",18,1,19,1,15,0,3,0,0,0,5,0,0,0,13,10,27,2,55,2.03703703703704,0.96
"128","MethodCollection2","add",19,0,10,0,4,0,1,0,0,0,3,0,2,1,5,3,8,1,25,3.125,0.96
"129","MethodCollection2","add",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"130","MethodCollection2","add",21,2,52,2,21,1,3,0,0,0,8,0,0,3,33,9,49,8,117,2.38775510204082,0.94
"131","MethodCollection2","add",22,0,3,1,4,0,1,0,0,0,1,0,0,0,4,0,14,1,13,0.928571428571429,0.93
"132","MethodCollection2","add",23,1,23,0,4,0,1,0,0,0,1,1,7,1,13,3,17,3,49,2.88235294117647,0.94
"133","MethodCollection2","add",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"134","MethodCollection2","add",25,1,20,1,17,0,3,0,0,2,4,0,0,1,7,4,17,5,51,3,0.91
"135","MethodCollection2","add",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"136","MethodCollection2","add",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"137","MethodCollection2","add",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"138","MethodCollection2","add",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"139","MethodCollection2","add",30,1,5,0,11,0,2,0,0,0,2,0,0,0,6,3,12,1,26,2.16666666666667,0.96
"140","MethodCollection2","add",1,1,4,1,3,0,1,0,0,0,2,0,2,0,4,3,9,2,16,1.77777777777778,0.89
"141","MethodCollection2","add",2,4,22,4,12,0,3,0,0,1,3,0,0,2,17,8,33,11,57,1.72727272727273,0.84
"142","MethodCollection2","add",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"143","MethodCollection2","add",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"144","MethodCollection2","add",5,4,23,5,11,1,2,0,0,1,2,0,0,1,13,6,34,12,51,1.5,0.81
"145","MethodCollection2","add",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"146","MethodCollection2","add",7,6,7,1,3,1,0,0,0,1,1,0,0,4,2,2,11,13,13,1.18181818181818,0.5
"147","MethodCollection2","add",8,4,7,1,10,0,2,0,0,0,3,0,0,1,3,1,11,6,25,2.27272727272727,0.81
"148","MethodCollection2","add",9,2,9,0,11,1,1,0,0,1,2,0,0,1,4,3,10,5,27,2.7,0.84
"149","MethodCollection2","add",10,0,3,2,2,0,1,0,0,0,1,0,0,0,2,2,12,2,9,0.75,0.82
"150","MethodCollection2","add",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"151","MethodCollection2","add",12,2,8,0,4,0,1,0,0,0,1,0,4,2,6,2,13,4,24,1.84615384615385,0.86
"152","MethodCollection2","add",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"153","MethodCollection2","add",14,1,10,0,4,1,0,0,0,0,2,0,4,3,4,3,10,5,24,2.4,0.83
"154","MethodCollection2","add",15,4,8,1,10,0,2,0,0,1,3,0,0,2,3,4,10,8,26,2.6,0.76
"155","MethodCollection2","add",16,10,17,1,10,0,2,0,0,2,1,0,0,5,21,7,21,18,51,2.42857142857143,0.74
"156","MethodCollection2","add",17,10,58,3,5,1,1,0,0,0,4,0,0,6,24,6,20,20,92,4.6,0.82
"157","MethodCollection2","add",18,4,13,4,12,1,2,0,0,1,3,0,0,3,10,9,32,13,40,1.25,0.75
"158","MethodCollection2","add",19,2,8,0,4,0,1,0,0,0,3,0,2,0,6,3,8,2,24,3,0.92
"159","MethodCollection2","add",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"160","MethodCollection2","add",21,12,43,4,19,0,4,0,0,1,5,0,0,3,33,11,51,20,104,2.03921568627451,0.84
"161","MethodCollection2","add",22,1,3,2,3,1,0,0,0,0,1,0,0,1,3,0,13,5,10,0.769230769230769,0.67
"162","MethodCollection2","add",23,3,20,0,4,0,1,0,0,0,1,1,7,5,9,3,18,9,42,2.33333333333333,0.82
"163","MethodCollection2","add",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"164","MethodCollection2","add",25,7,18,4,14,1,2,0,0,1,5,0,0,2,6,4,15,15,45,3,0.75
"165","MethodCollection2","add",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"166","MethodCollection2","add",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"167","MethodCollection2","add",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
